,SL_n,BRC1_2_n,CK_n,Aux_n,ABA_n,PIN_1_3_4_7_n,Aux_Bud_n,SUC_n,GA_n,Decap_signal_n,CXE_n,SMXL6_7_8_n,FHY3_FAR1_n,SPL9_15_n,MAX2_n,D14_n,D27_n,MAX3_n,MAX4_n,MAX1_n,LBO_n,CLAMT_n,PhyB_n,PIFs_n,HB21_40_53_n,NCED3_n
1,0.683749501,2.050801989,1.726477465,0.690970102,1.001643155,0,1.200214385,2.03581607,0,2.275215592,0.863763176,1.667459295,0.426216849,1.06436463,0.536045709,0.793857023,0.51613956,0.815339335,1.225287526,2.585590005,1.290144034,1.016473986,1.119918314,1.825724161,0.390732486,1.220182805
2,1.420082385,1.896308347,0.895500565,1.281865404,0.71914426,0,1.822634961,1.450006728,0,2.303893144,1.18190815,2.127770733,0.063175558,1.123496208,0.405067773,1.327744447,0.656118064,1.367891733,0.368907157,1.335266455,1.103095163,0.670497144,1.650791887,2.099947153,1.529338183,1.379658526
3,1.436009121,1.630979092,1.37072402,1.413294406,0.663472786,0,1.23160039,1.946135799,0,2.460726519,0.703452281,1.809354589,0.242539284,1.096370923,0.409510419,0.960111264,1.038024442,0.953563042,0.664407319,1.915964163,0.88780511,0,1.451700822,1.653427445,0.623666045,1.30826966
4,0.780898121,1.806006308,0.676723456,1.104072592,0.58597719,0.119896227,1.120420486,1.736384313,0.394825521,2.528453231,0.884693852,1.702446781,0.326969327,1.785689245,0.458508001,0.926230904,0.993245004,1.61254504,0.104446646,1.483084726,1.10547781,0.025714324,1.730622763,1.962363816,0.66393268,0.90792631
5,0.525963279,1.793725626,1.206727528,1.237511557,1.201173949,0,0.986239694,2.349268382,0,2.434976735,0.413044111,2.6095519,0.237475275,1.390588741,0.681809718,0.941963514,0.379027085,1.356534879,0.76170989,1.900522965,0.933895241,0.001924987,1.319183266,2.177251333,1.027537675,0.525173657
6,1.140324303,1.756339359,0.794851779,1.662752585,0.728706952,0,1.205681633,1.717857624,0,2.410171024,0.568114306,2.169147733,0.598467966,0.996203208,0,1.080892349,0.440223117,1.162639214,1.025631979,2.654361111,0.665412441,0.720103797,1.300806142,1.754314642,0.919739301,0.588046841
7,0.731593649,2.091278076,0.68540524,1.042220249,1.073644888,0.164933792,1.77722611,2.244588603,0,2.132258574,0.829916875,2.303273462,0.351062576,1.081923585,0.866292076,1.097191514,0.981349801,1.069175656,0.656834466,1.955271073,0.171304159,0.760054363,1.593576723,1.915577732,0.54610479,1.096515192
8,1.715870524,2.191414659,0.663746135,1.639951041,1.051826914,0.212410137,1.367206009,2.085513074,0,3.37568778,0.982703009,2.408597129,0.606775625,1.11124283,0.538433543,1.206373487,0.615542716,1.004940325,1.280661032,1.854824341,0.759674736,0.77030782,1.506044905,1.94195776,1.394253145,1.377345526
9,1.372356556,1.40190044,0.855356291,1.043839371,0.595594436,0,1.23737584,1.81657849,0,2.068079158,0.66039613,1.319153248,0.226510557,0.754547615,0.378530797,1.265404589,0.25772108,1.002408016,0.948014604,1.449965067,0.300881216,0.36316253,1.397690237,1.24874596,0.665094211,0.816480572
10,1.145443573,1.663648488,1.490114671,1.652524411,1.109242253,0.176199185,1.392833364,2.075951346,0.020699023,1.895204589,0.087548394,1.820006545,0.722902015,0.90545031,0.406240898,1.210118478,0.724946617,1.101075951,1.652532253,1.643778757,0.665362359,0.547915645,1.243081938,1.6172914,1.133606711,0.707194169
11,1.489595003,2.031773045,0.896604036,1.504751314,0,0.291938462,1.265757633,2.271069904,0,2.030877465,0.753526888,1.73553407,0.545848905,1.104122909,0.00289047,1.414866393,0.902263041,1.476140422,0.375408065,1.049676958,1.512987416,0.460004089,1.384190353,1.253950318,0.906553728,0.573094751
