,SL_n,BRC1_2_n,CK_n,Aux_n,ABA_n,PIN_1_3_4_7_n,Aux_Bud_n,SUC_n,GA_n,Decap_signal_n,CXE_n,SMXL6_7_8_n,FHY3_FAR1_n,SPL9_15_n,MAX2_n,D14_n,D27_n,MAX3_n,MAX4_n,MAX1_n,LBO_n,CLAMT_n,PhyB_n,PIFs_n,HB21_40_53_n,NCED3_n,,,,,,,,,
1,0,0.680572403,0.409775647,1.273097997,0.973460713,0.137164224,1.654095463,0.25886758,3.40295935,0.40723355,0.720222875,0.950491192,1.638049451,1.152269308,2.398280791,1.365483779,1.281667388,5.671857486,5.447669559,0,0,0,1.381364821,0.328855529,0.77689511,0.584909137,,,,,,,,,
2,4.027776699,1.346050232,0.125760201,2.120894135,0,0.305753937,1.517857716,0.162472916,1.355338185,0.714179814,0.836967898,0.925510782,0.632764886,0.37899967,1.132742338,0.880434464,0.742826588,0.826829625,1.237465636,2.391292392,3.42454649,4.814370324,1.269534476,1.164050923,2.317931845,0.779177719,,,,,,,,,
3,2.707918784,0,3.881657199,0.772978524,0,2.611146336,0.877109121,3.443726608,0.701186328,1.92381345,2.175028413,1.685933275,0.793336955,1.777932953,0.287000176,0.309228057,1.087871906,2.097372663,3.487176903,8.946102072,3.763638402,1.851337276,1.312235671,0,0,0,,,,,,,,,
4,5.716887608,0.463746234,2.401507649,0.643194705,3.79228117,0.863960184,1.868307836,2.880981107,1.893338823,1.352917328,1.590447561,1.097764502,0.810615151,1.643024894,0.953052945,0.754180763,0.621284367,0.649701126,0.827113201,0.958173266,3.301018982,2.590962485,0.377250337,0.128967478,1.294433565,2.786522109,,,,,,,,,
5,0.010908316,0.442567715,2.466514488,0.345893317,1.322300645,4.972345063,1.376692639,1.349228678,0.739758795,1.024218997,1.724640586,3.297474598,2.196009863,0.566463525,0.863343155,1.44107279,1.319611268,0.568071798,0.213902391,0.053408306,0.024936844,0.008516417,1.84765309,0.917429797,0.520854445,0.606477467,,,,,,,,,
6,0.04702489,0,1.025340818,0.195609408,0,2.995503093,1.577032018,0.332285189,2.478488692,0.240167173,1.418853308,5.194244242,2.493946003,0,0.765519073,0.618032257,0.445312305,0.036533697,0.004779783,0.011675223,0.035571218,0.015508775,0.965956995,2.338877291,0,0,,,,,,,,,
7,0.222601299,0.09418783,2.18832835,1.343866595,0.543736327,3.280735301,1.919670402,1.394370817,1.607329255,2.486230796,1.536225545,1.026014413,1.81199557,0.020499632,1.227659776,0.187315291,0.195970228,0.478070127,0.458511045,0.195022658,0.211848684,0.274388939,2.043887235,0.117850468,0.183432372,0.294211322,,,,,,,,,
8,1.158664497,3.620755717,0.55446087,2.155438365,4.054976054,1.281808266,1.235094268,0.812376599,1.126097381,1.34337386,1.053568241,1.356536519,1.039209315,0.912735456,1.979437962,1.888185221,0.142980683,0.136661427,0.407802349,0.65135073,0.424073957,0.284365333,0.841113941,1.863354626,1.322658614,2.989792256,,,,,,,,,
9,0,0.555869637,5.840781246,1.269490591,0.324473136,3.658013042,1.071861166,3.04687241,0.43220796,1.333024602,1.198717055,2.351131126,1.231453784,0.992942535,0.930986981,0.164854758,0.594975289,2.139298674,0,0,0,0,2.34553951,1.548831191,0.679056581,0.350519467,,,,,,,,,
10,0.72933311,1.630928403,0,0.770658432,1.614287021,0.79178315,0.390373067,0,0.546177311,1.231057585,0.86334877,0.573994581,2.323005267,0.554530525,1.44345683,2.755477994,1.470848321,0.712043147,0.399679651,0.434511617,0.649814303,0.577072955,1.254028716,0.23970451,1.021931284,0.794899189,,,,,,,,,
11,0,5.651155433,0.860764107,2.267201749,0,0,0.512636257,0.826642772,1.453999038,0.735445647,1.084013221,1.800113043,1.767758968,2.164467292,1.047876846,1.443647604,1.140341069,7.323588263,35.89606106,172.2942022,75.74553257,105.8143538,0,2.499332578,0,0,,,,,,,,,
12,22.60342386,3.654088098,1.048909631,1.489871991,2.869494906,1.357096647,0.566977353,1.019283639,0.322200562,1.380927167,0.212580092,2.888262172,1.307064702,0.572209949,0.297557955,0.992163205,1.594840131,3.493379576,0.936107404,2.745627239,7.628134492,2.983383307,1.698044468,2.464165678,1.375679658,1.671189534,,,,,,,,,
13,0.812772059,1.363222455,1.902666028,0.850518291,0.148928582,2.773206439,2.763352318,1.313035491,3.843430771,1.292799631,1.430865346,1.497011342,2.012454224,0.832538323,1.179901195,1.319306383,0.522295129,0.92417465,0.159005507,0.133901762,0.565873509,0.320013992,1.722329882,1.786091574,0.930703711,0.341589214,,,,,,,,,
14,0,0.570963027,0.025053194,0.772436661,0.245633477,0,1.322125151,0.674746024,1.386917721,0.579198447,2.102544682,3.6824924,1.688961563,1.007444104,1.857004454,2.493917013,1.073935794,2.435360825,3.584978111,13.65077784,0,0,1.040860413,0.100610802,0.328083839,0.163722627,,,,,,,,,
15,1.757704497,3.402294031,0.934756801,1.127358507,2.807492018,0.773568052,0.736325491,1.103845327,0.425120049,0.574069495,2.551253591,0.874020017,2.588456364,0.547368572,1.136568751,2.200151445,1.156515623,1.340112524,1.044400343,1.160976973,1.676488795,1.814968308,0.883058677,2.454171026,1.305059406,1.7510366,,,,,,,,,
16,4.361536253,0,0,0.77144095,0,0.44927843,1.938395771,0,2.666406376,1.289016082,0.651665974,0.535773484,1.178313549,1.050629907,2.572850629,2.265138386,1.168964416,0.606102204,0.752346171,0.493591857,2.568833758,1.412764966,0.515064382,1.513746081,0,0,,,,,,,,,
17,0,2.213254186,0.962346938,3.76274975,1.09079217,0.352083082,1.614872017,1.198466483,2.296216163,0.491800807,0.509845082,4.402738301,1.707989558,0.030739815,1.316816653,2.178801362,0,0,0,0,0,0,0.662651436,2.714377248,0.54679184,1.406026498,,,,,,,,,
18,0,0.357454923,5.93847295,0.967284182,1.355209587,4.822218209,2.411255238,3.394917613,1.080365495,1.577683175,0.842159845,1.725168299,0.600967467,0.083534797,1.272960192,0.008919461,0.971180068,0.330011199,0.532682598,0,0,0,1.212767761,0.936003918,0.848520319,1.817241671,,,,,,,,,
19,0,0.256937978,0.634593315,1.790812379,0,0.293364259,1.019927973,0.258793035,2.113806479,0.514360311,0.844782737,1.279500923,0.931097936,0.920289167,0.228240395,2.096088522,2.00325031,0,0,0,0,0,1.94271072,0.83928615,0,0,,,,,,,,,
20,0.016018474,0.198418792,7.541908917,0.36511665,0.08154986,8.576895533,0.308510562,2.254988423,0,2.672044559,1.348248765,1.480678342,0,2.336406066,1.124520764,1.089209776,0.581649396,0.791819537,0.119199827,0.460340457,0.007158631,0.021984282,1.869603152,0.53497146,0.239781689,0.112086638,,,,,,,,,
